번호,시작,종료,제목,분류,유적지,유적지 주소,설명,색상,이미지 파일,이미지 출처,출처 URL,라이선스
1,기원전 2333,,고조선 건국,고대,강화 참성단,인천광역시 강화군 화도면 흥왕리 산42-1,단군왕검이 고조선을 건국했다고 전하는 한국 고대사의 출발점.,purple,001_고조선_청동검과거울.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Korean-type_bronze_dagger_and_mirror.National_Museum_of_Korea.jpg,CC BY-SA 4.0 / GFDL
2,기원전 194,,위만조선 성립,고대,,,위만이 준왕을 몰아내고 왕이 되어 위만조선을 세움.,green,,,,
3,기원전 108,,고조선 멸망과 한사군 설치,고대,,,한 무제가 고조선을 멸망시키고 한사군을 설치함.,amber,,,,
4,기원전 57,,신라 건국,삼국,경주 오릉,경상북도 경주시 탑동 67-1,박혁거세가 사로국을 세웠다고 전하며 이후 신라로 발전함.,amber,,,,
5,기원전 37,,고구려 건국,삼국,오녀산성,,주몽이 졸본 지역에서 고구려를 건국함.,slate,,,,
6,기원전 18,,백제 건국,삼국,서울 풍납동 토성,서울특별시 송파구 풍납동 72-1 일대,온조가 한강 유역에 백제를 건국했다고 전함.,red,,,,
7,372,,고구려 불교 수용과 태학 설립,문화,,,소수림왕이 불교를 공인하고 태학을 세워 국가 체제를 정비함.,purple,007_고구려고분벽화_현무.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:현무_조선고적도보.jpg,Public domain
8,400,,광개토대왕의 신라 구원,삼국,,,고구려가 신라에 침입한 왜 세력을 격퇴하며 남부 지역에 영향력을 확대함.,purple,008_광개토대왕릉비.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Original_Gwanggaeto_stele_(from_a_book_published_in_1915).png,Public domain
9,427,,고구려 평양 천도,삼국,평양성,,장수왕이 수도를 국내성에서 평양으로 옮겨 남진 정책을 본격화함.,purple,,,,
10,475,,고구려 한성 함락,삼국,아차산 일대,서울특별시 광진구 광장동 산16-46 일대,장수왕의 공격으로 백제 한성이 함락되고 개로왕이 전사함.,green,,,,
11,512,,신라 우산국 복속,삼국,,,이사부가 우산국을 복속해 신라의 동해 지배력을 넓힘.,purple,,,,
12,527,,신라 불교 공인,문화,,,법흥왕 때 이차돈의 순교를 계기로 불교가 공인됨.,purple,012_신라금관.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Korea-Seoul.National.Museum-Silla-Crown-01.jpg,Free license (Commons)
13,538,,백제 사비 천도,삼국,부여 관북리 유적,충청남도 부여군 부여읍 관북리 33 일대,성왕이 수도를 웅진에서 사비로 옮기고 국호를 남부여로 바꿈.,amber,013_백제금동대향로.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Korea-Baekje-Incense.burner-01.jpg,Public domain
14,551,553,신라 한강 유역 진출,삼국,,,신라가 백제와 연합해 한강 유역을 확보한 뒤 독자적으로 차지함.,purple,,,,
15,562,,대가야 멸망,가야,고령 지산동 고분군,경상북도 고령군 대가야읍 지산리 산23-1,신라가 대가야를 정복해 가야 연맹이 소멸함.,amber,,,,
16,598,614,고구려와 수의 전쟁,전쟁,,,수나라가 여러 차례 고구려를 침공했으나 고구려가 이를 막아냄.,amber,,,,
17,612,,살수대첩,전쟁,,,을지문덕이 살수에서 수나라 대군을 크게 격파함.,red,,,,
18,642,,고구려 연개소문 정변,삼국,,,연개소문이 정변을 일으켜 권력을 장악하고 당과 대립함.,purple,,,,
19,645,,안시성 전투,전쟁,안시성,,고구려가 당 태종의 대규모 침공을 안시성에서 막아냄.,green,,,,
20,660,,백제 멸망,삼국,부여 부소산성,충청남도 부여군 부여읍 부소로 31,나당연합군의 공격으로 백제가 멸망함.,slate,,,,
21,668,,고구려 멸망,삼국,평양성,,나당연합군이 평양성을 함락하면서 고구려가 멸망함.,slate,,,,
22,676,,신라의 삼국 통일,통일신라,,,신라가 당 세력을 한반도에서 몰아내고 대동강 이남을 중심으로 통일 체제를 확립함.,purple,,,,
23,698,,발해 건국,남북국,,,대조영이 동모산 일대에서 발해를 건국함.,amber,,,,
24,751,,불국사 중창 시작,문화,불국사,경상북도 경주시 불국로 385,김대성이 불국사와 석굴암 조성을 시작한 것으로 전해짐.,green,024_불국사.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Bulguksa,_S_Korea.jpg",CC BY-SA 3.0
25,900,,후백제 건국,후삼국,전주 경기전 일대,전북특별자치도 전주시 완산구 태조로 44,견훤이 완산주를 중심으로 후백제를 세움.,green,,,,
26,918,,고려 건국,고려,개성 만월대,,왕건이 궁예를 몰아내고 고려를 건국함.,red,026_고려건국_왕건.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:WangGeon.jpg,Attribution required
27,926,,발해 멸망,남북국,,,거란의 공격으로 발해가 멸망함.,red,,,,
28,936,,후삼국 통일,고려,,,고려 태조 왕건이 후백제를 정복해 후삼국을 통일함.,green,,,,
29,958,,과거제 실시,고려,,,광종이 쌍기의 건의를 받아 과거제를 실시해 새로운 관료를 선발함.,purple,,,,
30,993,,서희의 외교 담판,고려,,,거란의 1차 침입 때 서희가 담판으로 강동 6주를 확보함.,slate,,,,
31,1019,,귀주대첩,전쟁,,,강감찬이 귀주에서 거란군을 크게 격파함.,slate,,,,
32,1170,,무신정변,고려,,,정중부와 이의방 등 무신이 정변을 일으켜 무신정권이 시작됨.,red,,,,
33,1231,1259,몽골의 고려 침입,전쟁,,,몽골이 여러 차례 고려를 침공해 장기간 전쟁이 이어짐.,green,,,,
34,1232,,강화도 천도,고려,강화 고려궁지,인천광역시 강화군 강화읍 북문길 42,고려가 몽골에 항전하기 위해 수도를 강화도로 옮김.,green,,,,
35,1251,,팔만대장경 조판 완성,문화,해인사 장경판전,경상남도 합천군 가야면 해인사길 122,몽골 침입 극복을 기원하며 만든 고려대장경판의 조판이 완성됨.,amber,035_팔만대장경_해인사.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tripitaka_Koreana.jpg,CC BY 2.0
36,1270,1273,삼별초의 항쟁,전쟁,진도 용장성,전라남도 진도군 군내면 용장산성길 92,개경 환도와 몽골에 대한 항복에 반대해 삼별초가 항쟁함.,blue,,,,
37,1356,,공민왕의 반원 개혁,고려,,,공민왕이 정동행성 이문소를 폐지하고 쌍성총관부를 수복하는 등 반원 정책을 추진함.,blue,,,,
38,1377,,직지심체요절 인쇄,문화,청주 흥덕사지,충청북도 청주시 흥덕구 직지대로 713,현존하는 세계 최고 금속활자본인 직지가 청주 흥덕사에서 인쇄됨.,blue,038_직지심체요절.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Korean_book-Jikji-Selected_Teachings_of_Buddhist_Sages_and_Seon_Masters-1377.jpg,Public domain
39,1388,,위화도 회군,고려,,,이성계가 요동 정벌 도중 위화도에서 군대를 돌려 권력을 장악함.,green,,,,
40,1392,,조선 건국,조선,경복궁,서울특별시 종로구 사직로 161,이성계가 고려를 무너뜨리고 조선을 건국함.,blue,,,,
41,1394,,한양 천도,조선,경복궁,서울특별시 종로구 사직로 161,조선이 수도를 개경에서 한양으로 옮김.,red,041_한양천도_경복궁.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Gyeongbokgung_Geunjeongjeon.jpg,CC BY-SA 2.0
42,1418,,세종 즉위,조선,경복궁,서울특별시 종로구 사직로 161,세종이 즉위해 과학 문화 국방 등 여러 분야의 발전을 이끎.,green,042_세종즉위_세종대왕.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Portrait_of_King_Sejong_1965.jpg,Public domain
43,1443,1446,훈민정음 창제와 반포,문화,경복궁,서울특별시 종로구 사직로 161,세종이 훈민정음을 창제하고 1446년에 반포함.,green,043_훈민정음.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hunminjeongum.jpg,Public domain
44,1453,,계유정난,조선,경복궁,서울특별시 종로구 사직로 161,수양대군이 김종서 등을 제거하고 정권을 장악함.,purple,,,,
45,1469,,경국대전 완성,조선,,,성종 때 조선의 기본 통치 법전인 경국대전이 완성됨.,blue,,,,
46,1592,1598,임진왜란,전쟁,진주성,경상남도 진주시 남강로 626,일본의 침략으로 7년간 전쟁이 벌어졌으며 조선 수군과 의병이 활약함.,amber,046_임진왜란_거북선.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Korean_turtle_ship.jpg,CC BY 2.0
47,1597-10-26,,명량대첩,전쟁,울돌목,전라남도 해남군 문내면 관광레저로 12,이순신이 적은 전력으로 일본 수군을 크게 격파함.,red,,,,
48,1608,,대동법 시행 시작,조선,,,광해군 때 경기도에서 대동법을 실시해 공납의 폐단을 줄이기 시작함.,amber,,,,
49,1623,,인조반정,조선,창덕궁,서울특별시 종로구 율곡로 99,서인 세력이 광해군을 몰아내고 인조를 왕으로 세움.,green,,,,
50,1627,,정묘호란,전쟁,,,후금이 조선을 침략해 형제 관계를 맺는 조건으로 전쟁이 끝남.,red,,,,
51,1636,1637,병자호란,전쟁,남한산성,경기도 광주시 남한산성면 산성리 산23,청이 조선을 침공하고 인조가 삼전도에서 항복함.,red,051_병자호란_남한산성.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Namhansanseong_South.jpg,CC BY-SA 3.0
52,1725,,탕평책 본격 추진,조선,,,영조가 붕당 간 갈등을 완화하기 위해 탕평 정치를 본격적으로 추진함.,slate,,,,
53,1776,,정조 즉위와 규장각 강화,조선,창덕궁,서울특별시 종로구 율곡로 99,정조가 즉위하고 규장각을 중심으로 개혁 정치를 추진함.,red,,,,
54,1796,,수원 화성 완공,문화,수원 화성,경기도 수원시 팔달구 정조로 825,정조가 개혁의 거점으로 건설한 수원 화성이 완공됨.,amber,054_수원화성.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hwaseongfortress.png,CC BY 3.0 / GFDL
55,1811,1812,홍경래의 난,조선,,,평안도 지역의 차별과 수탈에 반발해 홍경래가 봉기함.,slate,,,,
56,1862,,임술농민봉기,조선,진주성,경상남도 진주시 남강로 626,삼정의 문란에 반발해 진주를 비롯한 전국 각지에서 농민 봉기가 일어남.,red,,,,
57,1866,,병인양요,근대,강화도 정족산성,인천광역시 강화군 길상면 온수리 산41,프랑스 함대가 강화도를 침략했으나 조선군이 맞서 싸움.,amber,057_병인양요.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:FranceGanghwa.jpg,Public domain
58,1871,,신미양요,근대,강화 광성보,인천광역시 강화군 불은면 해안동로466번길 27,미국 함대가 강화도를 공격했으나 조선이 저항함.,slate,058_신미양요_수자기.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sujagi.jpg,Public domain
59,1876-02-27,,강화도 조약 체결,근대,강화도,인천광역시 강화군,조선이 일본과 불평등 조약을 체결하며 개항이 시작됨.,red,059_강화도조약.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:GanghwaTreaty.jpg,Public domain / historical image
60,1882,,임오군란,근대,,,구식 군인들의 차별 대우와 민생 불안이 폭발해 군란이 발생함.,purple,060_임오군란.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Imogullan1.jpg,Public domain
61,1884-12-04,1884-12-06,갑신정변,근대,우정총국,서울특별시 종로구 우정국로 59,김옥균 등 급진개화파가 근대 국가 수립을 목표로 정변을 일으켰으나 3일 만에 실패함.,purple,,,,
62,1894-01,1894-12,동학농민운동,근대,전봉준 고택,전북특별자치도 정읍시 이평면 조소1길 20,농민들이 반봉건 반외세를 내세우며 봉기해 전국적으로 확산됨.,purple,062_동학농민운동_전봉준.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:JeonBJ.jpg,CC0 1.0
63,1894,1896,갑오개혁과 을미개혁,근대,,,신분제 폐지와 근대적 제도 도입 등 정치 사회 전반의 개혁이 추진됨.,slate,,,,
64,1895-10-08,,을미사변,근대,경복궁 건청궁,서울특별시 종로구 사직로 161,일본 세력에 의해 명성황후가 시해된 사건.,red,,,,
